record_type,temperature_value,organism,uniprot_accession,commentary,literature
optimum_temperature,100,Bacillus subtilis,-,-,751229
optimum_temperature,22,Niallia circulans,P09850,assay at,707522
optimum_temperature,25,Pseudoalteromonashaloplanktis,Q8RJN8,cold-adapted enzyme,656075
optimum_temperature,30,Acetivibrio thermocellus,"P10478,O32374",assay at,709200
optimum_temperature,30,Marinimicrobium sp. LS-A18,A0A411LPM1,optimum temperaturewithout NaCl,768777
optimum_temperature,30,Penicillium griseofulvum,-,assay at,707567
optimum_temperature,35,Dickeya chrysanthemi,-,-,655834
optimum_temperature,35,Fusarium graminearum,Q7ZA57,-,663859
optimum_temperature,35,Hordeum vulgare,-,-,171605
optimum_temperature,35,Paenibacilluscurdlanolyticus,E3WF08,recombinant enzyme,717395
optimum_temperature,35 - 45,Talaromyces funiculosus,Q8J0K5,at pH 4.0,664181
optimum_temperature,37,Alternaria sp.,-,assay at,737904
optimum_temperature,37,Arthrinium sp.,-,assay at,737904
optimum_temperature,37,Aspergillus sp.,-,assay at,737904
optimum_temperature,37,Aureobasidium sp.,-,assay at,737904
optimum_temperature,37,Bipolaris sp.,-,assay at,737904
optimum_temperature,37,Cephalosporium sp.,-,assay at,737904
optimum_temperature,37,Chloridium sp.,-,assay at,737904
optimum_temperature,37,Cladosporium sp.,-,assay at,737904
optimum_temperature,37,Cordyceps sp.,-,assay at,737904
optimum_temperature,37,Dothideomycetes sp.,-,assay at,737904
optimum_temperature,37,Epicoccum sp.,-,assay at,737904
optimum_temperature,37,Exophiala sp.,-,assay at,737904
optimum_temperature,37,Fusarium sp.,-,assay at,737904
optimum_temperature,37,Microdochium sp.,-,assay at,737904
optimum_temperature,37,Minimidochium sp. TMS-2011,-,assay at,737904
optimum_temperature,37,Neurospora crassa,-,assay at,737904
optimum_temperature,37,Nigrospora sp.,-,assay at,737904
optimum_temperature,37,Paenibacillus sp. E18,-,assay at,707230
optimum_temperature,37,Paenibacillus sp. W-61,-,assay at,708936
optimum_temperature,37,Penicillium sp.,-,assay at,737904
optimum_temperature,37,Phanerodontiachrysosporium,-,assay at,737904
optimum_temperature,37,Phoma sp.,-,assay at,737904
optimum_temperature,37,Rhodonia placenta,-,assay at,737904
optimum_temperature,37,Sporothrix sp.,-,assay at,737904
optimum_temperature,37,Teredinibacter turnerae,C5BJ89,assay at,749504
optimum_temperature,37,Thermochaetoidesthermophila,Q6UN40,-,701091
optimum_temperature,37,Trichoderma reesei,-,assay at,737904
optimum_temperature,37,Trichoderma sp.,-,assay at,737904
optimum_temperature,37,uncultured bacterium,-,-,775836
optimum_temperature,37 - 40,Euphausia superba,-,isozymes A and B,655257
optimum_temperature,38,Pseudobutyrivibrioxylanivorans,-,-,655379
optimum_temperature,40,Aspergillus niger,-,assay at,654892
optimum_temperature,40,Bacillus pumilus,-,hydrolysis of larchwoodxylan,171624
optimum_temperature,40,Bacillus sp. (in:ﬁrmicutes),-,-,717091
optimum_temperature,40,Bacillus subtilis,P18429,assay at,"710,466,709,202"
optimum_temperature,40,Cellulomonas ﬁmi,-,xylanase B and C,171653
optimum_temperature,40,Cryptococcus sp. (in:basidiomycete fungi),-,-,171583
optimum_temperature,40,Duganella sp. PAMC27433,-,-,769515
optimum_temperature,40,Fusarium oxysporum,-,-,171637
optimum_temperature,40,,-,assay at,717889
optimum_temperature,40,Hordeum vulgare,Q94G06,-,677960
optimum_temperature,40,Naganishia albida,-,-,171631
optimum_temperature,40,Niallia circulans,P09850,assay at,709203
optimum_temperature,40,Pediococcus acidilactici,-,-,750814
optimum_temperature,40,Penicillium sp. CGMCC1669,D1GFE6,recombinant enzyme,707207
optimum_temperature,40,Pseudopedobactersaltans,F0S6Y3,-,752084
optimum_temperature,40,Rhizophlyctis rosea,A0A2U8LMQ3,small enzyme formRrXyn11A S,749718
optimum_temperature,40,Streptomyces olivaceus,-,-,746374
optimum_temperature,40,Streptomyces sp.,F7J663,-,730370
optimum_temperature,40,Triticum aestivum,Q9XGT8,-,752127
optimum_temperature,40,uncultured bacterium,A0A3G9FT71,-,750245
optimum_temperature,42,Aspergillus niger,-,-,171599
optimum_temperature,45,Albiﬁmbria verrucaria,-,-,171652
optimum_temperature,45,Arthrobacter sp.,A0A0F6MV31,-,737475
optimum_temperature,45,Aspergillus luchuensis,P33557,-,739002
optimum_temperature,45,Aspergillus niger,-,-,171598
optimum_temperature,45,,-,xylanase I and II,171597
optimum_temperature,45,,I3QKR9,wild-type enzyme,751243
optimum_temperature,45,Bacillus subtilis,-,at pH 6.0,770731
optimum_temperature,45,Carica papaya,Q8GTJ2,about,655665
optimum_temperature,45,Cellulomonas ﬁmi,-,xylanase A,171653
optimum_temperature,45,Luteimicrobiumxylanilyticum,A0A286LNP2,C-terminal truncatedmutant,745089
optimum_temperature,45,Malbranchea pulchella,-,xylanase A and B,171587
optimum_temperature,45,Massilia sp. RBM26,A0A0S2I9J6,-,738866
optimum_temperature,45,Neocallimastixpatriciarum,A8TGA1,-,695791
optimum_temperature,45,Paenibacillus terrae,F1KBQ3,enzyme without xylan-binding domain,750448
optimum_temperature,45,Penicillium occitanis(nom. inval.),-,-,718338
optimum_temperature,45,Pomacea insularus,-,-,171584
optimum_temperature,45,Pomacea maculata,Q7Z1V6,recombinant EGXA withxylan as substrate,695295
optimum_temperature,45,Sphingobacterium sp.TN19,D8L2Y2,-,707250
optimum_temperature,45,Trichodermalongibrachiatum,-,-,171647
optimum_temperature,45,Trichoderma virens,-,-,171632
optimum_temperature,45 - 50,Bacillus pumilus,-,-,171586
optimum_temperature,50,Acetivibrio thermocellus,-,-,750432
optimum_temperature,50,Alternaria mali,-,-,695683
optimum_temperature,50,Aspergillus fumigatus,-,-,737935
optimum_temperature,50,,E0X4B3,wild-type and mutantsS68R and Q47P/S159R,738888
optimum_temperature,50,Aspergillus giganteus,-,both xylanase I andxylanase II,665016
optimum_temperature,50,Aspergillus niger,-,-,171634
optimum_temperature,50,,-,xylanase II,171633
optimum_temperature,50,,-,-,"664,489,707,403,731,000"
optimum_temperature,50,,F5CI28,-,729014
optimum_temperature,50,Aspergillus ochraceus,-,-,171654
optimum_temperature,50,Aspergillus sulphureus,Q3S401,recombinant enzyme,707197
optimum_temperature,50,Aureobasidiummelanogenum,-,-,776226
optimum_temperature,50,Bacillus licheniformis,-,-,752334
optimum_temperature,50,Bacillus pumilus,Q5EFR9,recombinant enzyme,717410
optimum_temperature,50,Bacillus sp. (in:ﬁrmicutes),-,-,"667,012,708,851"
optimum_temperature,50,Bacillus subtilis,-,-,"171,618,171,622"
optimum_temperature,50,Cellulomonas ﬂavigena,A1XM14,-,697503
optimum_temperature,50,Cellulomonas ﬂavigena,A1XM14,xylanase activity,697503
optimum_temperature,50,Cellvibrio mixtus,O68541,-,744626
optimum_temperature,50,Cladosporium sp.,A0A346PXS9,-,750679
optimum_temperature,50,-,-,768810,
optimum_temperature,50,Cutaneotrichosporoncutaneum,-,-,171625
optimum_temperature,50,Kitasatospora sp.,"A0A3T0YV67,A0A3T0YV60",-,750084
optimum_temperature,50,Lentinula edodes,-,"Xylam and Xyl6-6, pH 5.0",655228
optimum_temperature,50,Lentinula edodes,-,-,681351
optimum_temperature,50,A0A411LPM1,A0A411LPM1,optimum temperaturewith 10% (w/v) NaCl,768777
optimum_temperature,50,Neocallimastixpatriciarum,P29127,-,744626
optimum_temperature,50,Paenibacilluscurdlanolyticus,A0A0A0R2Z1,-,737855
optimum_temperature,50,Paenibacillus sp.,B6VF01,-,717404
optimum_temperature,50,Penicillium citrinum,-,at both pH 3.5 and pH8.5,681711
optimum_temperature,50,Penicillium citrinum,B1B533,-,699042
optimum_temperature,50,Penicillium janczewskii,-,-,739567
optimum_temperature,50,Penicillium sclerotiorum,-,xylanase I,707211
optimum_temperature,50,Rhizophlyctis rosea,A0A2U8LMQ3,large enzyme formRrXyn11A L,749718
optimum_temperature,50,Ruminiclostridium josui,-,"substrate: alpha-D-cellobiose octaacetate.Enzyme derivativeRjAbf62A-CBM6,containing the glycosidehydrolase family 62(GH62) catalytic moduleand the family 6",750435
optimum_temperature,50,Ruminiclostridium josui,,,carbohydrate bindingmodule (CBM6)
optimum_temperature,50,Ruminiclostridium josui,Ruminococcusﬂavefaciens,-,catalytic domains XYL-Aand XYL-C
optimum_temperature,50,Ruminiclostridium josui,Schizophyllumcommune,-,-
optimum_temperature,50,Ruminiclostridium josui,,P35809,-
optimum_temperature,50,Ruminiclostridium josui,Streptomyces sp.,F8WSY7,-
optimum_temperature,50,Ruminiclostridium josui,Termitomyces clypeatus,-,-
optimum_temperature,50,Ruminiclostridium josui,Thermoascusaurantiacus,-,assay at
optimum_temperature,50,Ruminiclostridium josui,Thermomyceslanuginosus,O43097,carboxymethyl cellulaseactivity of the fusionenzyme (EG-M-Xyn) ofendoglucanase(cellulase) fromTeleogryllus emma andxylanase fromThermomyceslanuginosus and of theparental endoglucanase
optimum_temperature,50,Ruminiclostridium josui,Thermotoga maritima,-,assay at
optimum_temperature,50,Ruminiclostridium josui,Trametes hirsuta,-,"30 min, stable"
optimum_temperature,50,Ruminiclostridium josui,Trichoderma harzianum,-,20000 Da protein
optimum_temperature,50,Ruminiclostridium josui,Trichoderma inhamatum,-,-
optimum_temperature,50,Ruminiclostridium josui,Trichoderma reesei,-,assay at
optimum_temperature,50,Ruminiclostridium josui,,P36218,assay at
optimum_temperature,50,Ruminiclostridium josui,,B2CNY5,-
optimum_temperature,50,Ruminiclostridium josui,uncultured bacterium,-,-
optimum_temperature,50,Ruminiclostridium josui,,A0A127JBT0,-
optimum_temperature,50 - 55,Aspergillus caespitosus,-,"both isoforms xyl I, xyl II",666701
optimum_temperature,50 - 55,Bacillus subtilis,-,-,709497
optimum_temperature,50 - 55,Cellulomonas ﬂavigena,-,wild-type enzyme,655370
optimum_temperature,50 - 60,Acidomyces acidophilus,-,wild-type and mutantenzymes,707765
optimum_temperature,50 - 60,Aspergillus niger,-,optimum temperaturefor hybrid xylanase and,695678
optimum_temperature,50 - 60,,,"its Aspergillus parent is60°C and 50°C,respectively",
optimum_temperature,50 - 60,Penicillium griseofulvum,-,-,677745
optimum_temperature,50 - 60,Talaromyces funiculosus,Q9HFH0,-,677745
optimum_temperature,50 - 60,Thermobiﬁda fusca,Q56265,"hybrid gene fromThermomonospora fuscawith N-terminal region ofBacillus subtilis,temperature optimum issimilar to temperatureoptimum ofThermomonospora fuscaparent enzyme",664701
optimum_temperature,55,Acrophialophoranainiana,-,-,656332
optimum_temperature,55,Alicyclobacillus sp.,D3VWB5,-,717947
optimum_temperature,55,Aspergillus cf. nigerBCC14405,Q6QA21,-,665441
optimum_temperature,55,Aspergillus ﬂavus,B8NKE9,-,752113
optimum_temperature,55,,B8NJ86,-,750988
