uniprot_accession,organism,organism_type,gh_family,length,molecular_weight,aromaticity,instability_index,gravy,predicted_pI,secondary_structure_fraction_helix,secondary_structure_fraction_turn,secondary_structure_fraction_sheet,optimum_temperature,optimum_pH,aa_A_fraction,aa_C_fraction,aa_D_fraction,aa_E_fraction,aa_F_fraction,aa_G_fraction,aa_H_fraction,aa_I_fraction,aa_K_fraction,aa_L_fraction,aa_M_fraction,aa_N_fraction,aa_P_fraction,aa_Q_fraction,aa_R_fraction,aa_S_fraction,aa_T_fraction,aa_V_fraction,aa_W_fraction,aa_Y_fraction
A0A0B5JC15,Humicola insolens (Soft-rot fungus),fungal,GH11,291,30839.057699999998,0.12371134020618557,24.432989690721644,-0.6518900343642612,8.702732276916507,0.14776632302405499,0.4329896907216495,0.32302405498281783,,,6.529209621993127,2.0618556701030926,2.4054982817869415,2.4054982817869415,2.7491408934707904,18.556701030927837,1.3745704467353952,2.0618556701030926,1.0309278350515463,3.7800687285223367,1.0309278350515463,9.965635738831615,4.810996563573883,4.810996563573883,5.154639175257732,7.560137457044673,8.59106529209622,5.498281786941581,3.4364261168384878,6.185567010309279
B3A0S5,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato),fungal,GH10,327,36197.3094,0.08868501529051988,26.428746177370023,-0.44648318042813456,8.565930366516113,0.29357798165137616,0.29663608562691135,0.345565749235474,,,11.009174311926605,1.2232415902140672,5.198776758409786,4.281345565749236,1.834862385321101,7.951070336391437,1.834862385321101,5.504587155963303,4.587155963302752,7.033639143730887,2.4464831804281344,7.339449541284404,3.9755351681957185,4.587155963302752,5.81039755351682,5.198776758409786,7.6452599388379205,5.504587155963303,2.7522935779816513,4.281345565749236
B3VSG7,Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea),fungal,GH11,227,23823.774699999998,0.1277533039647577,25.280616740088092,-0.19691629955947137,7.798498725891114,0.22466960352422907,0.3656387665198238,0.4052863436123348,,,9.691629955947137,0.0,1.7621145374449338,3.5242290748898677,2.643171806167401,11.894273127753303,0.44052863436123346,3.5242290748898677,3.5242290748898677,5.286343612334802,0.44052863436123346,4.845814977973569,2.643171806167401,3.0837004405286343,2.202643171806167,15.418502202643172,11.45374449339207,7.488986784140969,2.643171806167401,7.488986784140969
D5EY13,Xylanibacter ruminicola (strain ATCC 19189 / DSM 19721 / CIP 105475 / JCM 8958 / 23) (Prevotella ruminicola),bacterial,GH10,726,82287.8563,0.11983471074380164,36.533085399449156,-0.48622589531680444,7.900358772277833,0.3168044077134986,0.29338842975206614,0.3415977961432507,,,6.887052341597796,1.1019283746556474,6.0606060606060606,6.74931129476584,5.647382920110193,9.228650137741047,2.203856749311295,5.234159779614325,8.677685950413224,6.0606060606060606,3.3057851239669422,5.096418732782369,4.820936639118457,3.168044077134986,4.40771349862259,4.132231404958677,4.40771349862259,6.473829201101928,2.203856749311295,4.132231404958677
P83513,Pseudobutyrivibrio xylanivorans,bacterial,GH11,602,65922.14069999999,0.10631229235880399,27.429750830564778,-0.4950166112956811,5.49493236541748,0.21428571428571427,0.37209302325581395,0.3604651162790698,,5.6,5.48172757475083,1.495016611295681,5.647840531561462,3.1561461794019934,3.654485049833887,9.634551495016611,1.1627906976744187,4.8172757475083055,5.149501661129568,4.983388704318937,2.6578073089700998,9.46843853820598,2.990033222591362,5.3156146179401995,2.3255813953488373,9.46843853820598,8.803986710963455,6.810631229235881,1.6611295681063123,5.3156146179401995
Q59675,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,606,64883.2702,0.07755775577557755,39.13466996699679,-0.17607260726072607,4.692706871032715,0.28052805280528054,0.34983498349834985,0.3481848184818482,,,10.891089108910892,1.155115511551155,7.260726072607261,3.7953795379537953,3.3003300330033003,5.9405940594059405,1.9801980198019802,5.2805280528052805,4.29042904290429,6.765676567656766,2.31023102310231,6.435643564356436,3.3003300330033003,3.6303630363036303,2.145214521452145,12.046204620462046,7.590759075907591,7.425742574257426,1.6501650165016502,2.8052805280528053
Q8GJ44,Thermoclostridium stercorarium (Clostridium stercorarium),bacterial,GH11,651,70149.83859999999,0.11059907834101383,32.47342549923198,-0.22718894009216592,5.1008108139038075,0.1751152073732719,0.3763440860215054,0.4101382488479263,,,5.6835637480798775,0.4608294930875576,4.45468509984639,3.533026113671275,3.533026113671275,10.906298003072196,0.7680491551459293,7.8341013824884795,2.61136712749616,4.147465437788019,1.5360983102918586,7.2196620583717355,4.301075268817204,3.0721966205837172,3.686635944700461,10.75268817204301,10.44546850998464,7.526881720430108,1.5360983102918586,5.990783410138249
P23030,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,599,64362.0887,0.09682804674457429,32.64075125208682,-0.3011686143572621,6.365250968933105,0.21368948247078465,0.3606010016694491,0.3606010016694491,,,10.684474123539232,1.1686143572621035,3.5058430717863107,2.671118530884808,2.8380634390651087,8.681135225375627,1.669449081803005,6.010016694490818,1.8363939899833055,5.175292153589315,1.001669449081803,9.84974958263773,3.5058430717863107,5.008347245409015,3.8397328881469117,10.517529215358932,9.015025041736227,6.176961602671119,3.33889816360601,3.5058430717863107
P84195,Gloeophyllum trabeum (Brown rot fungus) (Agaricus trabeus),fungal,GH10,45,4771.2931,0.1111111111111111,31.253333333333334,-0.048888888888888905,4.558112144470216,0.3333333333333333,0.35555555555555557,0.39999999999999997,,,11.11111111111111,0.0,4.444444444444445,2.2222222222222223,2.2222222222222223,8.88888888888889,0.0,0.0,4.444444444444445,11.11111111111111,4.444444444444445,6.666666666666667,4.444444444444445,2.2222222222222223,0.0,11.11111111111111,11.11111111111111,6.666666666666667,2.2222222222222223,6.666666666666667
Q2LMP0,Botryotinia fuckeliana (Noble rot fungus) (Botrytis cinerea),fungal,GH11,227,23823.774699999998,0.1277533039647577,25.280616740088092,-0.19691629955947137,7.798498725891114,0.22466960352422907,0.3656387665198238,0.4052863436123348,,,9.691629955947137,0.0,1.7621145374449338,3.5242290748898677,2.643171806167401,11.894273127753303,0.44052863436123346,3.5242290748898677,3.5242290748898677,5.286343612334802,0.44052863436123346,4.845814977973569,2.643171806167401,3.0837004405286343,2.202643171806167,15.418502202643172,11.45374449339207,7.488986784140969,2.643171806167401,7.488986784140969
