feature,importance_mean,importance_std
secondary_structure_fraction_helix,0.10801816167155773,0.0093352735628743
molecular_weight,0.09671205725958784,0.011705006345241398
instability_index,0.09566040791364759,0.018000655804128116
salt_bridge_proxy,0.09467342325952789,0.015940744124882496
hbond_proxy,0.09328539689124468,0.009273136380176874
secondary_structure_fraction_sheet,0.09135032704288684,0.02066406963799774
length,0.09111557553700152,0.010982349743776145
secondary_structure_fraction_turn,0.08965619404709428,0.021036410778246206
gravy,0.0816569349119981,0.0052666449732956715
predicted_pI,0.07999126908913398,0.007508916981294115
aromaticity,0.07788025237631954,0.0075913005202168085
disulfide_count,0.0,0.0
