feature,importance_mean,importance_std
vina_xylotriose_score,0.10991049289399499,0.014235019799337112
docking_score_mean_norm,0.10160782899069391,0.00596174067589741
secondary_structure_fraction_sheet,0.08880554734630877,0.008755226107517963
molecular_weight,0.08182842175667568,0.0044976863123435615
length,0.07425358223247798,0.007440880431261694
salt_bridge_density,0.07358641238428401,0.007555529073500518
instability_index,0.07121084741498296,0.00822974124918481
vina_xylobiose_score,0.06855135174503596,0.012679072644582614
secondary_structure_fraction_helix,0.06299771876027375,0.00860300147443619
secondary_structure_fraction_turn,0.061483031115335166,0.004486120345513572
aromaticity,0.05967000414463699,0.007934577751050696
predicted_pI,0.053648287717506585,0.006819246941786088
gravy,0.052823829727305205,0.007719556172366733
hbond_density,0.03962264377048813,0.007209572015408134
