organism_type,count,mean,median,std,min,max,metric,group_col,gh_family
bacterial,88,499.70454545454544,417.5,289.44644588692506,47.0,1474.0,length,organism_type,
fungal,67,271.7910447761194,233.0,105.24898866762838,45.0,607.0,length,organism_type,
,78,517.2307692307693,417.5,285.2934202962551,45.0,1474.0,length,gh_family,GH10
,77,283.6363636363636,227.0,145.7393048428479,114.0,767.0,length,gh_family,GH11
bacterial,88,54812.402924999995,47511.602450000006,31506.926100300767,4364.9067,160427.40709999998,molecular_weight,organism_type,
fungal,67,29336.953262686566,25508.676,11321.260741162045,4771.2931,66214.3455,molecular_weight,organism_type,
,78,56753.24333589744,46729.88045,31162.074162482626,4364.9067,160427.40709999998,molecular_weight,gh_family,GH10
,77,30679.407088311684,24700.994700000007,15557.366631617042,12614.6423,80783.6335,molecular_weight,gh_family,GH11
bacterial,88,0.11103491967441456,0.10981660156755216,0.02436341809858065,0.0545454545454545,0.1857142857142856,aromaticity,organism_type,
fungal,67,0.12572985711082948,0.1277533039647577,0.022278898303501615,0.0851063829787234,0.1693121693121693,aromaticity,organism_type,
,78,0.10109702298016741,0.0991327420583249,0.01517813555966861,0.0545454545454545,0.1329479768786127,aromaticity,gh_family,GH10
,77,0.13388838396520777,0.1300448430493273,0.020903996753268643,0.0772727272727272,0.1857142857142856,aromaticity,gh_family,GH11
bacterial,88,30.83791627562565,29.441639086719718,9.811830758960816,11.593333333333335,87.96170212765956,instability_index,organism_type,
fungal,67,27.16705302759967,28.489473684210523,6.318671404949851,13.270175438596487,39.45865168539326,instability_index,organism_type,
,78,33.15207524333646,31.69881260246443,9.239991565331847,16.463559077809798,87.96170212765956,instability_index,gh_family,GH10
,77,25.299575534077803,25.01095238095237,5.803787491885329,11.593333333333335,35.34027343750001,instability_index,gh_family,GH11
bacterial,88,-0.38976121288983234,-0.4301222428913102,0.16664760466916254,-0.7090336134453782,0.3085106382978723,gravy,organism_type,
fungal,67,-0.3728352307467196,-0.3380090497737557,0.23750628920504166,-0.9482456140350876,0.0732984293193717,gravy,organism_type,
,78,-0.3083725181467379,-0.3367898525629744,0.19236170726221968,-0.7090336134453782,0.3085106382978723,gravy,gh_family,GH10
,77,-0.4574791010245442,-0.4576399394856278,0.17915386306476447,-0.9482456140350876,-0.1563981042654028,gravy,gh_family,GH11
bacterial,88,6.548036250201139,6.0509597778320305,1.8415932732435858,4.05309772491455,10.081775474548335,predicted_pI,organism_type,
fungal,67,6.908488694945379,6.710263633728028,2.010348073958074,4.0500284194946286,9.69528751373291,predicted_pI,organism_type,
,78,5.985880543635441,5.530343055725096,1.508355793585089,4.05309772491455,10.081775474548335,predicted_pI,gh_family,GH10
,77,7.431133119162028,8.488245964050293,2.0216500760634006,4.0500284194946286,9.696641349792484,predicted_pI,gh_family,GH11
bacterial,88,0.2578045307304185,0.26675836772122874,0.06721284779056615,0.1380952380952381,0.372960372960373,secondary_structure_fraction_helix,organism_type,
fungal,67,0.21856866156297214,0.211453744493392,0.0636146549078803,0.1216931216931216,0.3460674157303371,secondary_structure_fraction_helix,organism_type,
,78,0.29342215496314905,0.29528828188731876,0.04130503049592784,0.210801393728223,0.372960372960373,secondary_structure_fraction_helix,gh_family,GH10
,77,0.18758403820610828,0.1855203619909502,0.044906239139143204,0.1216931216931216,0.3409090909090909,secondary_structure_fraction_helix,gh_family,GH11
bacterial,88,0.33685443007378146,0.3318926013257997,0.05449351482547175,0.2335329341317365,0.4893617021276596,secondary_structure_fraction_turn,organism_type,
fungal,67,0.3561539053458865,0.3632286995515695,0.04320605834723164,0.2527777777777777,0.4353741496598639,secondary_structure_fraction_turn,organism_type,
,78,0.3135271268919299,0.31461093345515456,0.04564879468416159,0.2335329341317365,0.4893617021276596,secondary_structure_fraction_turn,gh_family,GH10
,77,0.3772777351570991,0.3771929824561404,0.03199351942151916,0.2851851851851852,0.4417549167927383,secondary_structure_fraction_turn,gh_family,GH11
bacterial,88,0.36015271084530764,0.3605512845337841,0.03473554189818802,0.2545454545454545,0.4421052631578947,secondary_structure_fraction_sheet,organism_type,
fungal,67,0.3776737128829177,0.3759791122715405,0.02244194178750421,0.3197278911564625,0.431095406360424,secondary_structure_fraction_sheet,organism_type,
,78,0.35548904442582163,0.35929587653725586,0.02893616897020363,0.2545454545454545,0.4363636363636363,secondary_structure_fraction_sheet,gh_family,GH10
,77,0.38012249158868144,0.3766816143497757,0.028539707135860536,0.3146747352496218,0.4421052631578947,secondary_structure_fraction_sheet,gh_family,GH11
bacterial,80,31252.825,26513.0,18697.458382598077,2732.0,95387.0,hbond_proxy,organism_type,
fungal,65,16634.53846153846,14538.0,6453.91661870169,2937.0,32205.0,hbond_proxy,organism_type,
,73,33513.0,27483.0,17975.148781643562,2732.0,95387.0,hbond_proxy,gh_family,GH10
,72,15764.194444444445,13475.5,6781.031762532582,7949.0,47039.0,hbond_proxy,gh_family,GH11
bacterial,80,3349.75,1975.0,5011.4575420931715,4.0,29820.0,salt_bridge_proxy,organism_type,
fungal,65,474.6923076923077,216.0,506.92701407219744,6.0,2132.0,salt_bridge_proxy,organism_type,
,73,3654.7397260273974,2132.0,5070.3381216076405,4.0,29820.0,salt_bridge_proxy,gh_family,GH10
,72,444.9861111111111,165.0,1010.4688006007315,40.0,7952.0,salt_bridge_proxy,gh_family,GH11
bacterial,80,0.0,0.0,0.0,0.0,0.0,disulfide_count,organism_type,
fungal,65,0.0,0.0,0.0,0.0,0.0,disulfide_count,organism_type,
,73,0.0,0.0,0.0,0.0,0.0,disulfide_count,gh_family,GH10
,72,0.0,0.0,0.0,0.0,0.0,disulfide_count,gh_family,GH11
bacterial,88,0.3666344288597614,0.3196572092082067,0.31784134364815,0.0026243231613715,0.9670412217209488,thermoprot_probability,organism_type,
fungal,67,0.44968826591123395,0.4373157616866368,0.29431020277854214,0.0057353314938986,0.9650573217588296,thermoprot_probability,organism_type,
,78,0.24236609675080373,0.11104218178875025,0.2668428484344295,0.0026243231613715,0.9670412217209488,thermoprot_probability,gh_family,GH10
,77,0.5647842598590778,0.5848440349766928,0.26301386634007706,0.0350454303303139,0.9650573217588296,thermoprot_probability,gh_family,GH11
bacterial,18,6.227777777777778,6.0,0.7489644266707871,5.0,7.8,optimum_pH_x,organism_type,
fungal,5,5.5600000000000005,5.0,1.6410362579784763,3.5,7.8,optimum_pH_x,organism_type,
,12,6.083333333333333,6.0,1.18615753463429,3.5,7.8,optimum_pH_x,gh_family,GH10
,11,6.081818181818182,6.0,0.8109478180723857,5.0,7.8,optimum_pH_x,gh_family,GH11
bacterial,80,-5.7643125,-5.88,0.6747962579291544,-7.255,-3.405,vina_xylobiose_score,organism_type,
fungal,65,-5.9042615384615384,-5.926,0.5549900414906974,-7.046,-4.73,vina_xylobiose_score,organism_type,
,73,-5.753054794520548,-5.793,0.6323892720471344,-7.255,-3.405,vina_xylobiose_score,gh_family,GH10
,72,-5.902069444444445,-6.0495,0.6142561590349443,-7.046,-4.69,vina_xylobiose_score,gh_family,GH11
bacterial,80,-7.528125,-7.588,0.8506245862358205,-9.189,-4.876,vina_xylotriose_score,organism_type,
fungal,65,-7.624707692307692,-7.665,0.775866949029377,-8.933,-5.559,vina_xylotriose_score,organism_type,
,73,-7.455109589041095,-7.343,0.8706766774827087,-9.189,-4.876,vina_xylotriose_score,gh_family,GH10
,72,-7.6893472222222226,-7.788,0.745423032550621,-8.933,-5.851,vina_xylotriose_score,gh_family,GH11
bacterial,80,0.6128084415584416,0.6428571428571429,0.17527175530627395,0.0,1.0,vina_xylobiose_score_norm,organism_type,
fungal,65,0.6491588411588411,0.6548051948051948,0.14415325753005123,0.3441558441558443,0.9457142857142858,vina_xylobiose_score_norm,organism_type,
,73,0.6098843622131294,0.6202597402597403,0.1642569537784765,0.0,1.0,vina_xylobiose_score_norm,gh_family,GH10
,72,0.6485894660894661,0.6868831168831169,0.1595470542947908,0.3337662337662339,0.9457142857142858,vina_xylobiose_score_norm,gh_family,GH11
bacterial,80,0.6149142128448875,0.6287966612566659,0.19722341438345017,0.0,1.0,vina_xylotriose_score_norm,organism_type,
fungal,65,0.6373076031318554,0.6466496638070948,0.1798903197378569,0.1583584511940644,0.9406445629492232,vina_xylotriose_score_norm,organism_type,
,73,0.5979850658569663,0.5719916531416647,0.20187263563243882,0.0,1.0,vina_xylotriose_score_norm,gh_family,GH10
,72,0.6522947419944869,0.6751680964525852,0.17283167923733384,0.2260607465801065,0.9406445629492232,vina_xylotriose_score_norm,gh_family,GH11
bacterial,80,0.6138613272016645,0.6220853445186856,0.16694865536188802,0.0,0.9240774643858344,docking_score_mean_norm,organism_type,
fungal,65,0.6432332221453483,0.6452046817082755,0.14895092976587979,0.3072311736489802,0.9271812791891624,docking_score_mean_norm,organism_type,
,73,0.6039347140350478,0.578229002622696,0.16549902378565473,0.0,0.9240774643858344,docking_score_mean_norm,gh_family,GH10
,72,0.6504421040419764,0.6760220234205859,0.15022357670654876,0.2812121914718715,0.9271812791891624,docking_score_mean_norm,gh_family,GH11
bacterial,80,75.1,76.5,40.0593230982328,2.0,145.0,rank_docking,organism_type,
fungal,65,70.41538461538461,67.0,44.45464412876775,1.0,142.0,rank_docking,organism_type,
,73,78.32876712328768,86.0,39.497909506749195,2.0,145.0,rank_docking,gh_family,GH10
,72,67.59722222222223,61.5,44.013333358222646,1.0,143.0,rank_docking,gh_family,GH11
bacterial,20,0.6845,0.665,0.4142269273821066,0.03,1.39,dbd2_score,organism_type,
,19,0.6589473684210526,0.64,0.4090625425808259,0.03,1.39,dbd2_score,gh_family,GH10
,1,1.17,1.17,,1.17,1.17,dbd2_score,gh_family,GH11
bacterial,20,0.32589999999999997,0.254,0.43684718513216353,-0.243,1.684,duet_best_ddg,organism_type,
,19,0.3279473684210526,0.249,0.4487192234799706,-0.243,1.684,duet_best_ddg,gh_family,GH10
,1,0.287,0.287,,0.287,0.287,duet_best_ddg,gh_family,GH11
bacterial,20,-1.9896999999999998,-2.1755,0.812911343647989,-3.529,-0.504,duet_worst_ddg,organism_type,
,19,-2.0096842105263155,-2.194,0.8301242244809962,-3.529,-0.504,duet_worst_ddg,gh_family,GH10
