pH_RANGE,ORGANISM,UNIPROT,COMMENTARY,LITERATURE
3 - 3.5,Evansstolkia leycettana,-,-,774449
3 - 7,Termitomyces clypeatus,-,"about 50% of maximal
activity at pH 3.0 and at
pH 7.0",171630
4 - 4.5,Aspergillus niger,-,xylanase Ib,171633
46117,Trichoderma reesei,-,xylanase I and II,136301
4.5 - 5,Bispora sp. MEY-1,D0QF43,recombinant Xyl10C,708455
4.5 - 5.5,Aspergillus fumigatus,-,-,742216
4.5 - 5.5,"Rasamsonia
byssochlamydoides",-,-,171627
4.7 - 6,Pseudozyma hubeiensis,-,"PhX33, isoelectric
focusing",707766
4.8 - 6.4,"Thermochaetoides
thermophila",-,xylanase I,737964
46152,Paenibacillus terrae,F1KBQ3,native enzyme,750448
5 - 5.5,Fusarium proliferatum,-,-,657201
5 - 5.5,Trametes hirsuta,-,-,171629
5 - 5.5,Trichoderma reesei,P36217,-,680958
46148,Acetivibrio thermocellus,-,-,750432
46148,Streptomyces sp.,-,"xylanase X-II-A and X-II-
B","171592,
171594"
46148,Thermobifida fusca,-,"optimum pH for hybrid
xylanase and its
Thermomonospora
parent is 5.0 and 6.0,
respectively",695678
46148,"Trichoderma
longibrachiatum",-,-,171647
46148,Trichoderma reesei,-,-,"656334,
680210"
5 - 6.5,Rhizomucor miehei,-,-,717022
46149,Carica papaya,Q8GTJ2,-,655665
46151,"Halalkalibacterium
halodurans",-,-,681342
5.3 - 8,"Pseudoalteromonas
haloplanktis",Q8RJN8,at 25°C,656075
5.4 - 6,"Thermochaetoides
thermophila",-,xylanase II,737964
5.5 - 6,Aspergillus niger,-,xylanase IA,171633
5.5 - 6,"Clostridium
acetobutylicum",-,xylanase B,171603
5.5 - 6,Streptomyces sp.,-,-,171619
5.5 - 6,,-,xylanase X-I,"171592,
171594"
5.5 - 6.2,Streptomyces sp.,-,-,171660
5.5 - 6.5,Aspergillus caespitosus,-,isoform xyl II,666701
5.5 - 6.5,Cellulomonas fimi,-,xylanase C,171653
5.5 - 6.5,Streptomyces sp.,F8WSY7,-,729010
5.5 - 7,Niallia circulans,-,"endo-beta-D-xylanase A
and B",171626
5.5 - 7,"Thermoclostridium
stercorarium",-,at 65°C,
5.5 - 7,,,,"171615
"
5.7 - 6,Euphausia superba,-,isozymes A and B,655257
6 - 6.5,Aspergillus giganteus,-,xylanase I,665016
6 - 6.5,Aspergillus niger,-,xylanase IID,171633
6 - 6.5,Malbranchea pulchella,-,-,"171587,
171596"
6 - 6.5,"Mycothermus
thermophilus",-,"xylanase 1, xylanase 2",738127
6 - 6.5,Streptomyces sp.,-,Xyl1,655355
