TEMPERATURE,ORGANISM,UNIPROT,COMMENTARY,LITERATURE
,TEMPERATURERANGE,ORGANISM,UNIPROT,COMMENTARY
10 - 55,Pseudopedobactersaltans,F0S6Y3,"recombinant enzyme,activity range, proﬁleoverview",752084
10 - 65,Sphingobacterium sp.TN19,D8L2Y2,the enzyme showsover 65% of itsmaximum activity at20-28°C and about40% at 10°C,707250
10 - 80,Pediococcus acidilactici,-,"native extracellularenzyme, over 65%activity within thisrange, proﬁleoverview",750814
10 - 90,Demequina sp. JK4,B9VSZ3,"enzyme assay range,50% of maximalactivity at 45°C and60°C",709491
100,Thermomyceslanuginosus,-,40% of maximumactivity,742766
20 - 50,Penicillium griseofulvum,-,-,707567
20 - 60,Cladosporium sp.,A0A346PXS9,"20°C: about 40% ofmaximal activity,60°C: about 35% ofmaximal activity",750679
20 - 70,Aspergillus sulphureus,Q3S401,"50% of maximalactivity at 20°C, 20%at 70°C",707197
20 - 70,Nesterenkoniaxinjiangensis,D1KJJ7,"activity range, proﬁle,overview",707216
20 - 80,Bispora sp. MEY-1,D6MYS9,-,707258
20 - 80,Paenibacillus sp.,B6VF01,activity range,717404
20 - 80,Streptomyces avermitilis,Q9X584,"puriﬁed heavierprotein band (42.8kDa), more than 50%of maximum activity",698373
20 - 90,Thermoanaerobacteriumsaccharolyticum,P36917,"the enzyme shows84.1%, 91.5% and97.3% relativeactivities at 40, 50,and 60 °C,respectively,compared to themaximum activity at70°C. At lowertemperatures, suchas 20 and 30°C, theenzyme exhibitsmore than 40%relative activity. Inaddition, the enzymeis active at hightemperatures of 80and 90°C, withrelative activities of52.8 and 30.2%,respectively",775899
20 - 90,Trichoderma reesei,-,"activity range, proﬁle,overview",707911
25 - 60,Dickeya chrysanthemi,-,-,655834
25 - 70,Acidomyces acidophilus,-,-,707765
25 - 75,Bacillus licheniformis,-,"activity range, proﬁleoverview",752334
30 - 45,Duganella sp. PAMC27433,-,the enzyme showsmore than 50%activity between 30and 45°C. Theenzyme displays 12%of its maximumactivity at 4°C and20% activity at 8°C,769515
30 - 45,uncultured bacterium,-,approximately 80%activity is maintainedin intervals of 30 and45°C,775836
