uniprot_accession,organism,organism_type,gh_family,optimum_temperature,optimum_pH
A0A0B5JC15,Humicola insolens (Soft-rot fungus),fungal,GH11,,
B3A0S5,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato),fungal,GH10,,
B3VSG7,Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea),fungal,GH11,,
D5EY13,Xylanibacter ruminicola (strain ATCC 19189 / DSM 19721 / CIP 105475 / JCM 8958 / 23) (Prevotella ruminicola),bacterial,GH10,,
P83513,Pseudobutyrivibrio xylanivorans,bacterial,GH11,,5.6
Q59675,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,,
Q8GJ44,Thermoclostridium stercorarium (Clostridium stercorarium),bacterial,GH11,,
P23030,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,,
P84195,Gloeophyllum trabeum (Brown rot fungus) (Agaricus trabeus),fungal,GH10,,
Q2LMP0,Botryotinia fuckeliana (Noble rot fungus) (Botrytis cinerea),fungal,GH11,,
Q4P0L3,Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis),fungal,GH11,,
Q59674,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH11,,
V9TS54,Humicola insolens (Soft-rot fungus),fungal,GH11,,
V9TXH2,Paenibacillus barcinonensis,bacterial,GH11,,
B3PIN1,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH11,,
J7FK35,Aspergillus oryzae (Yellow koji mold),fungal,GH10,,
P14768,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,,
Q1K5S8,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH11,,
