uniprot_accession,organism,organism_type,gh_family,optimum_temperature,optimum_pH,predicted_pI,gravy,instability_index,Probability,Class,Prediction,ionic_conditions,secretion_signal
A0A0B5JC15,Humicola insolens (Soft-rot fungus),fungal,GH11,,,8.702732276916507,-0.6518900343642612,24.432989690721644,0.8256072156002151,1,Thermophilic/Hyperthermophilic,,
B3A0S5,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato),fungal,GH10,,,8.565930366516113,-0.4464831804281345,26.428746177370023,0.0609204814051077,0,Mesophilic,,
B3VSG7,Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea),fungal,GH11,,,7.798498725891114,-0.1969162995594713,25.28061674008809,0.7340238894514988,1,Thermophilic/Hyperthermophilic,,
D5EY13,Xylanibacter ruminicola (strain ATCC 19189 / DSM 19721 / CIP 105475 / JCM 8958 / 23) (Prevotella ruminicola),bacterial,GH10,,,7.900358772277833,-0.4862258953168044,36.53308539944916,0.2415930699771468,0,Mesophilic,,
P83513,Pseudobutyrivibrio xylanivorans,bacterial,GH11,,5.6,5.49493236541748,-0.4950166112956811,27.429750830564775,0.0628146788695899,0,Mesophilic,,
Q59675,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,,,4.692706871032715,-0.176072607260726,39.13466996699679,0.0128368091603781,0,Mesophilic,,
Q8GJ44,Thermoclostridium stercorarium (Clostridium stercorarium),bacterial,GH11,,,5.100810813903808,-0.2271889400921659,32.47342549923198,0.8493066532652944,1,Thermophilic/Hyperthermophilic,,
P23030,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,,,6.365250968933105,-0.3011686143572621,32.64075125208682,0.4808231108389394,0,Mesophilic,,
P84195,Gloeophyllum trabeum (Brown rot fungus) (Agaricus trabeus),fungal,GH10,,,4.558112144470216,-0.0488888888888889,31.25333333333333,0.1628725496435104,0,Mesophilic,,
Q2LMP0,Botryotinia fuckeliana (Noble rot fungus) (Botrytis cinerea),fungal,GH11,,,7.798498725891114,-0.1969162995594713,25.28061674008809,0.7340238894514988,1,Thermophilic/Hyperthermophilic,,
Q4P0L3,Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis),fungal,GH11,,,8.939524650573734,-0.4828054298642534,28.49909502262442,0.2825025767596893,0,Mesophilic,,
Q59674,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH11,,,6.405947685241699,-0.4576399394856278,31.956323751891084,0.5293234527076744,1,Thermophilic/Hyperthermophilic,,
V9TS54,Humicola insolens (Soft-rot fungus),fungal,GH11,,,8.72768154144287,-0.4981900452488688,34.21769230769231,0.8633569689705712,1,Thermophilic/Hyperthermophilic,,
V9TXH2,Paenibacillus barcinonensis,bacterial,GH11,,,9.300160789489745,-0.4119047619047619,19.571476190476183,0.810538022169019,1,Thermophilic/Hyperthermophilic,,
B3PIN1,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH11,,,6.405947685241699,-0.4576399394856278,31.956323751891084,0.5293234527076744,1,Thermophilic/Hyperthermophilic,,
J7FK35,Aspergillus oryzae (Yellow koji mold),fungal,GH10,,,4.7242525100708,-0.2357293868921776,34.57061310782239,0.3703362846317706,0,Mesophilic,,
