uniprot_accession,organism,organism_type,gh_family,length,input_fasta,model_source,swiss_model_status,model_path,template,gmqe,qmean,notes
A0A0B5JC15,Humicola insolens (Soft-rot fungus),fungal,GH11,291,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A0B5JC15.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A0B5JC15_swissmodel.pdb,,,,
B3VSG7,Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea),fungal,GH11,227,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/B3VSG7.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/B3VSG7_swissmodel.pdb,,,,
D5EY13,Xylanibacter ruminicola (strain ATCC 19189 / DSM 19721 / CIP 105475 / JCM 8958 / 23) (Prevotella ruminicola),bacterial,GH10,726,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/D5EY13.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/D5EY13_swissmodel.pdb,,,,
P83513,Pseudobutyrivibrio xylanivorans,bacterial,GH11,602,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/P83513.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/P83513_swissmodel.pdb,,,,
P23030,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,599,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/P23030.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/P23030_swissmodel.pdb,,,,
P84195,Gloeophyllum trabeum (Brown rot fungus) (Agaricus trabeus),fungal,GH10,45,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/P84195.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/P84195_swissmodel.pdb,,,,
Q2LMP0,Botryotinia fuckeliana (Noble rot fungus) (Botrytis cinerea),fungal,GH11,227,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q2LMP0.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q2LMP0_swissmodel.pdb,,,,
Q4P0L3,Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis),fungal,GH11,221,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q4P0L3.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q4P0L3_swissmodel.pdb,,,,
Q59674,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH11,661,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q59674.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q59674_swissmodel.pdb,,,,
V9TS54,Humicola insolens (Soft-rot fungus),fungal,GH11,221,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/V9TS54.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/V9TS54_swissmodel.pdb,,,,
V9TXH2,Paenibacillus barcinonensis,bacterial,GH11,210,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/V9TXH2.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/V9TXH2_swissmodel.pdb,,,,
B3PIN1,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH11,661,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/B3PIN1.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/B3PIN1_swissmodel.pdb,,,,
J7FK35,Aspergillus oryzae (Yellow koji mold),fungal,GH10,473,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/J7FK35.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/J7FK35_swissmodel.pdb,,,,
Q1K5S8,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH11,293,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q1K5S8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q1K5S8_swissmodel.pdb,,,,
Q21G61,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH11,767,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q21G61.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q21G61_swissmodel.pdb,,,,
Q8VP72,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH11,357,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q8VP72.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q8VP72_swissmodel.pdb,,,,
Q96UV7,Lentinula edodes (Shiitake mushroom) (Lentinus edodes),fungal,GH11,283,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q96UV7.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q96UV7_swissmodel.pdb,,,,
U5HTZ3,Gloeophyllum trabeum (Brown rot fungus) (Agaricus trabeus),fungal,GH10,396,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/U5HTZ3.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/U5HTZ3_swissmodel.pdb,,,,
A0A024FRL8,Irpex lacteus (Milk-white toothed polypore) (Polyporus tulipiferae),fungal,GH10,382,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A024FRL8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A024FRL8_swissmodel.pdb,,,,
A0A024FRX8,Irpex lacteus (Milk-white toothed polypore) (Polyporus tulipiferae),fungal,GH10,383,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A024FRX8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A024FRX8_swissmodel.pdb,,,,
A0A024FS83,Irpex lacteus (Milk-white toothed polypore) (Polyporus tulipiferae),fungal,GH10,398,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A024FS83.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A024FS83_swissmodel.pdb,,,,
